"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thur","Tue","Wed","temperature","wind_speed","scaledCollisions","num_collisions"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5,4.4,0.357843137254902,257
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.3,6.2,0.176470588235294,220
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.2,5.3,0.284313725490196,242
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6,3.9,0.215686274509804,228
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6.4,0.176470588235294,220
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.8,7.2,0.495098039215686,285
"7",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5,0.431372549019608,272
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.7,6,0.294117647058824,244
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,2.7,0.264705882352941,238
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.9,3.4,0.465686274509804,279
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.8,3,0.299019607843137,245
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1,1.6,0.338235294117647,253
"13",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.1,5.7,0.431372549019608,272
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.2,7.2,0.397058823529412,265
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.1,7.7,0.127450980392157,210
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.2,6.1,0.200980392156863,225
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.2,5.7,0.377450980392157,261
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.6,5.7,0.338235294117647,253
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2,3.9,0.32843137254902,251
"20",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.9,5.7,0.343137254901961,254
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.2,9.2,0.32843137254902,251
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.3,9.2,0.137254901960784,212
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.7,5,0.372549019607843,260
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,6,0.387254901960784,263
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,5.4,0.382352941176471,262
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.1,7.2,0.382352941176471,262
"27",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.4,12.5,0.524509803921569,291
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-5.5,7.6,0.490196078431373,284
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4.6,4.8,0.553921568627451,297
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-2.8,11.4,0.269607843137255,239
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8,0.264705882352941,238
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,6.5,0.303921568627451,246
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.7,6.7,0.455882352941176,277
"34",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.1,3.5,0.696078431372549,326
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.1,6.6,0.446078431372549,275
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.2,4.5,0.28921568627451,243
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4.6,6.3,0.573529411764706,301
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.2,4.3,0.220588235294118,229
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4,3.9,0.465686274509804,279
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.4,5,0.563725490196078,299
"41",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-3.4,4.6,0.519607843137255,290
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.5,5.6,0.127450980392157,210
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.4,4.1,0,184
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,4.9,0.117647058823529,208
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.6,6.2,0.142156862745098,213
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.3,7.4,0.269607843137255,239
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.2,6.8,0.352941176470588,256
"48",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.2,7.3,0.0882352941176471,202
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.3,5.5,0.357843137254902,257
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.3,5.8,0.117647058823529,208
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.3,3.3,0.299019607843137,245
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.8,4.5,0.274509803921569,240
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.7,6.4,0.406862745098039,267
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,8.2,0.416666666666667,269
"55",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.5,3.5,0.573529411764706,301
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.1,4.5,0.191176470588235,223
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.5,4.1,0.137254901960784,212
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6.3,5.9,0.196078431372549,224
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.6,11.1,0.411764705882353,268
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.1,6,0.294117647058824,244
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.4,6.8,0.382352941176471,262
"62",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1.3,11.1,0.598039215686274,306
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.4,8.4,0.32843137254902,251
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4,5.9,0.156862745098039,216
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.9,4.2,0.323529411764706,250
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10.1,6.6,0.563725490196078,299
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.9,5.3,0.196078431372549,224
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12.1,2.6,0.504901960784314,287
"69",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,17.3,6,0.754901960784314,338
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.3,7.4,0.333333333333333,252
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7.4,8,0.294117647058824,244
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.5,9,0.338235294117647,253
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.4,3.7,0.259803921568627,237
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.2,3,0.28921568627451,243
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.4,3.7,0.294117647058824,244
"76",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.6,11.3,0.612745098039216,309
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.4,3,0.485294117647059,283
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11.1,2.5,0.377450980392157,261
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10.3,2.9,0.544117647058823,295
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11.1,4.1,0.485294117647059,283
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10.9,4.1,0.411764705882353,268
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13.1,4.1,0.357843137254902,257
"83",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,17,5.3,0.745098039215686,336
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14.4,6.6,0.691176470588235,325
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12.2,3.8,0.0686274509803922,198
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10.5,10.5,0.274509803921569,240
"87",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10.3,4.6,0.475490196078431,281
"88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13.4,4.8,0.490196078431373,284
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.2,7.9,0.387254901960784,263
"90",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.7,9.1,0.485294117647059,283
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.6,5.9,0.475490196078431,281
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.3,3.3,0.367647058823529,259
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,6.9,0.411764705882353,268
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.2,6.8,0.656862745098039,318
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.6,2.5,0.583333333333333,303
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.2,3.1,0.617647058823529,310
"97",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.5,3.9,0.475490196078431,281
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14.2,2.4,0.53921568627451,294
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.8,4.8,0.151960784313725,215
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.7,8,0.392156862745098,264
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.3,4.3,0.67156862745098,321
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.7,3.2,0.544117647058823,295
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.6,3.5,0.42156862745098,270
"104",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.8,5.5,0.558823529411765,298
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.2,5.4,0.392156862745098,264
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.6,2.9,0.362745098039216,258
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.9,3,0.666666666666667,320
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.8,2.7,0.632352941176471,313
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.7,4.7,0.485294117647059,283
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.1,10.7,0.333333333333333,252
"111",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.7,7.5,0.848039215686274,357
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15.8,3.7,0.573529411764706,301
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.4,3.9,0.436274509803922,273
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.1,7.4,0.568627450980392,300
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.4,2.7,0.436274509803922,273
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.3,1.3,0.686274509803922,324
"117",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.4,9.2,0.720588235294118,331
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11.1,9.3,0.656862745098039,318
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18.9,5.7,0.715686274509804,330
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,17.2,5.2,0.647058823529412,316
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14.9,3.8,0.78921568627451,345
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.9,3.4,0.759803921568627,339
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.9,5.9,0.759803921568627,339
"124",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14.3,3.7,0.661764705882353,319
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11,2.9,0.593137254901961,305
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13.8,4.6,0.696078431372549,326
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13.7,6.9,0.71078431372549,329
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.9,2.5,0.656862745098039,318
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19.3,3.4,0.67156862745098,321
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19.3,2.5,0.75,337
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,19,2.1,0.666666666666667,320
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21.3,4.4,0.931372549019608,374
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24.1,4.5,0.799019607843137,347
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20.2,2.6,0.985294117647059,385
"135",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19.3,1.5,0.980392156862745,384
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,24.3,2.2,0.950980392156863,378
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26.7,5.5,0.715686274509804,330
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,18.4,6,0.676470588235294,322
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17.8,4.1,0.833333333333333,354
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22.7,3.5,0.730392156862745,333
"141",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.8,7.2,0.852941176470588,358
"142",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.2,0.9,0.838235294117647,355
"143",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19.8,2.5,0.759803921568627,339
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18.6,1,0.509803921568627,288
"145",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21.2,2.5,0.720588235294118,331
"146",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23.8,4.1,0.887254901960784,365
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28.6,2.7,0.897058823529412,367
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,27.5,2.6,0.965686274509804,381
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27,2.6,0.838235294117647,355
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25.9,2.4,0.82843137254902,353
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25.7,4.9,0.911764705882353,370
"152",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,18.8,4.6,0.779411764705882,343
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,19,4.2,0.700980392156863,327
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,19.3,1.9,0.715686274509804,330
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19.9,2,0.71078431372549,329
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.2,3.1,0.906862745098039,369
"157",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.8,3.8,0.911764705882353,370
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.5,3.8,1,388
"159",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23.2,3.6,0.995098039215686,387
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,24.3,4.4,0.92156862745098,372
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.1,2.5,0.681372549019608,323
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,26.7,2.5,0.867647058823529,361
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.3,4.2,0.519607843137255,290
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18.3,4.3,0.82843137254902,353
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.3,2.8,0.980392156862745,384
"166",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20.8,2.6,0.965686274509804,381
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23.7,2.4,0.936274509803922,375
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26.4,3.8,0.725490196078431,332
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,28.4,4.1,0.955882352941177,379
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30,4.2,0.813725490196078,350
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31.3,4.3,0.867647058823529,361
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,24.4,2.1,0.661764705882353,319
"173",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22.6,1.9,0.730392156862745,333
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,17.6,6.3,0.524509803921569,291
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19.7,2.4,0.514705882352941,289
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23.3,2.5,0.676470588235294,322
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,26.7,5.6,0.696078431372549,326
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,26.6,2.4,0.686274509803922,324
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,26.1,4.2,0.593137254901961,305
"180",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,24.1,3.6,0.794117647058823,346
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22.8,2.7,0.534313725490196,293
"182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22.6,1.7,0.387254901960784,263
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25.2,3,0.583333333333333,303
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21.7,6.1,0.558823529411765,298
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3.2,0.720588235294118,331
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,27.1,1.9,0.92156862745098,372
"187",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28.9,2.9,0.813725490196078,350
"188",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,27.6,1.4,0.759803921568627,339
"189",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,24.7,3.9,0.617647058823529,310
"190",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,23.7,4.1,0.705882352941177,328
"191",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,25.9,2.3,0.5,286
"192",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25.3,1.9,0.715686274509804,330
"193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,23.3,2.8,0.71078431372549,329
"194",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,23.1,2.6,0.686274509803922,324
"195",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23.6,2,0.75,337
"196",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,23.8,1.8,0.676470588235294,322
"197",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,26.7,2.2,0.857843137254902,359
"198",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27.4,2.4,0.656862745098039,318
"199",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23.8,3.9,0.568627450980392,300
"200",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,22.9,2.7,0.661764705882353,319
